feature_1,feature_2,feature_3,feature_4,label
-2.36568609,-1.54130840,1.42760960,2.14948097,0
1.33650968,-1.23274009,-1.18036618,0.73289882,1
0.01441826,1.20498926,0.34551317,-1.30204775,2
-1.65498211,-1.36075645,0.96995629,1.91115486,0
1.79440773,-0.95053542,-1.99016218,0.82513058,1
-0.17085670,2.24853764,0.91080895,-1.57177019,2
-2.31740659,-1.09052265,0.71921470,1.42404741,0
1.26308665,-0.97658279,-1.66113744,0.58734251,1
-0.05201579,1.40522163,1.51933166,-1.17021570,2
-1.87304134,-1.36139266,1.02070941,2.63679016,0
1.52340509,-0.75054251,-0.96864278,0.60029431,1
0.43341696,1.71701228,1.23219310,-1.44395406,2
-2.01226730,-1.69001336,0.64095001,2.07787418,0
1.79132356,-0.76792024,-0.47262728,0.96513242,1
0.82281133,1.81323549,0.91211683,-1.43413089,2
-2.34253724,-0.99010784,-0.00961138,1.57041349,0
1.73007519,-1.60261376,-1.71044678,0.10275995,1
0.48464997,1.92636166,1.02248320,-0.56699253,2
-1.97511949,-1.22293040,1.08776183,1.45554744,0
1.51579256,-0.94363794,-1.12631345,1.10126439,1
0.95047752,1.30261201,1.57148100,-2.29030559,2
-2.08341939,-0.67610071,0.73139918,1.50554565,0
1.46845167,-1.74613270,-0.94207181,0.75898281,1
-0.01883555,1.82161692,1.92428043,-1.44588366,2
-2.03039940,-1.39206874,0.58086978,1.85519722,0
1.75728841,-0.72572659,-1.10900451,0.90038446,1
-0.75206082,2.21229823,1.32923837,-1.55137232,2
-2.31424208,-1.28058876,1.28498384,1.66685603,0
1.08301652,-2.11349012,-1.16163979,0.43145447,1
0.22615410,1.45469516,1.58854200,-0.94125539,2
-2.11451379,-1.40381702,0.78762753,2.34128594,0
1.65325202,-1.68041416,-0.71472160,0.28785849,1
0.23104935,1.62525042,1.03181825,-1.35274832,2
-2.02759382,-1.41400012,1.59642904,1.69762839,0
0.84563708,-1.36432477,-1.67207656,0.65854264,1
-0.20267172,1.84137717,1.80282642,-1.65303669,2
-2.20506057,-0.64852250,1.36001005,0.74572775,0
